comname,sciname
Acadian redfish,Sebastes fasciatus
Alewife,Alosa pseudoharengus
American lobster,Homarus americanus
American plaice,Hippoglossoides platessoides
American shad,Alosa sapidissima
Atlantic cod,Gadus morhua
Atlantic hagfish,Myxine glutinosa
Atlantic herring,Clupea harengus
Atlantic mackerel,Scomber scombrus
Atlantic rock crab,Cancer irroratus
Black sea bass,Centropristis striata
Blackbelly rosefish,Helicolenus dactylopterus
Butterfish,Peprilus triacanthus
Chain dogfish,Scyliorhinus retifer
Cusk,Brosme brosme
Fawn cusk-eel,Lepophidium profundorum
Fourbeard rockling,Enchelyopus cimbrius
Fourspot flounder,Paralichthys oblongus
Goosefish,Lophius americanus
Gulf stream flounder,Citharichthyes arctifrons
Haddock,Melanogrammus aeglefinus
Jonah crab,Cancer borealis
Little skate,Leucoraja erinacea
Longfin squid,Doryteuthis pealeii
Longhorn sculpin,Myoxocephalus octodecemspinos
Northern sand lance,Ammodytes dubius
Northern searobin,Prionotus carolinus
Northern shortfin squid,Illex illecebrosus
Ocean pout,Macrozoarces americanus
Offshore hake,Merluccius albidus
Pollock,Pollachius virens
Red hake,Urophycis chuss
Rosette skate,Leucoraja garmani
Scup,Stenotomus caprinus
Sea raven,Hemitripterus americanus
Sea scallop,Placopecten magellanicus
Silver hake,Merluccius bilinearis
Smooth dogfish,Mustelus canis
Smooth skate,Malacoraja senta
Spiny dogfish,Squalus acanthias
Spotted hake,Urophycis regia
Summer flounder,Paralichthys dentatus
Thorny skate,Amblyraja radiata
White hake,Urophycis tenuis
Windowpane,Scophthalmus aquosus
Winter flounder,Pseudopleuronectes americanus
Winter skate,Leucoraja ocellata
Witch flounder,Glyptocephalus cynoglossus
Yellowtail flounder,Limanda ferruginea